sheet	range	group	formula	count	cached	error
مواد اولیه	L17		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,13)	1	#NAME?	#NAME?
مواد اولیه	M17		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_ChickenAndBeafWaste,4)	1	#NAME?	#NAME?
مواد اولیه	N17		SUM(LN:LN,MN)	1	#NAME?	#NAME?
مواد اولیه	P17		MINUS(NN,IN)	1	#NAME?	#NAME?
مواد اولیه	Q17		MINUS(IN,GN)	1	#NAME?	#NAME?
مواد اولیه	L18		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,14)	1	#NAME?	#NAME?
مواد اولیه	G21		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,10)	1	#NAME?	#NAME?
مواد اولیه	L21		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,15)	1	#NAME?	#NAME?
مواد اولیه	M21		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_ChickenAndBeafWaste,5)	1	#NAME?	#NAME?
مواد اولیه	N21		GN/100*80	1	#NAME?	#NAME?
مواد اولیه	P21:P24	1	MINUS(LN,NN)	4	#NAME?	#NAME?
مواد اولیه	G22		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,11)	1	#NAME?	#NAME?
مواد اولیه	L22		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,16)	1	#NAME?	#NAME?
مواد اولیه	N22		GN/100*60	1	#NAME?	#NAME?
مواد اولیه	G23		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,12)	1	#NAME?	#NAME?
مواد اولیه	L23		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,17)	1	#NAME?	#NAME?
مواد اولیه	G24		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseOutputToPrep,13)	1	#NAME?	#NAME?
مواد اولیه	L24		GET_CELL_VALUE_BY_PERSIAN_DATE(BN,CN,DN,Warehouse_WarehouseInputFromPrep,18)	1	#NAME?	#NAME?
