sheet	range	group	formula	count	cached	error
مواد حساس	F8		LET(\ningredientId, DN,\nfrangiSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Farangi,Date),\nsandwichSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Sandwich,Date),\nfraTotal,getTotalFoodsIngredientPerDay(ingredientId,frangiSalesData,"Table_Ingredients_Farangi",Refresher),\nsanTotal,getTotalFoodsIngredientPerDay(ingredientId,sandwichSalesData,"Table_Ingredients_Sandwich",Refresher),\naverage, getAverage({fraTotal,sanTotal}),\nCONVERT_GR_TO_KG(average)\n)	1	Loading...	Loading...
مواد حساس	G8		LET(\ningredientId, DN,\nfrangiSalesData,getLast3DaysRows(Table_SalesData_Farangi,Date),\nsandwichSalesData,getLast3DaysRows(Table_SalesData_Sandwich,Date),\nfraTotal,getTotalFoodsIngredientPerDay(ingredientId,frangiSalesData,"Table_Ingredients_Farangi",Refresher),\nsanTotal,getTotalFoodsIngredientPerDay(ingredientId,sandwichSalesData,"Table_Ingredients_Sandwich",Refresher),\ngetTrendCoefficientLast3Days(fraTotal,sanTotal)\n)	1	Loading...	Loading...
مواد حساس	H8		HN	1	1.15	
مواد حساس	I8		LET(\nfarangiData, getPreviousDayRow(Table_Farangi_Last,Date),\ntotalGr, getIngredientValueById(DN,farangiData,Refresher),\nCONVERT_GR_TO_KG(totalGr)\n)	1	Loading...	Loading...
مواد حساس	J8		LET(\ningredientId, DN,\nfrangiSalesData,getPreviousDayRow(Table_SalesData_Farangi,Date),\nsandwichSalesData,getPreviousDayRow(Table_SalesData_Sandwich,Date),\nfraTotal,getTotalFoodsIngredientPerDay(ingredientId,frangiSalesData,"Table_Ingredients_Farangi",Refresher),\nsanTotal,getTotalFoodsIngredientPerDay(ingredientId,sandwichSalesData,"Table_Ingredients_Sandwich",Refresher),\nsum, SUM(fraTotal,sanTotal),\ncalcBuffer(FN,CONVERT_GR_TO_KG(sum))\n)	1	Loading...	Loading...
مواد حساس	F9		LET(\ningredientId, DN,\n\nfrangiSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Farangi,Date),\nsandwichSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Sandwich,Date),\nsaladSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Salad,Date),\npastaSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Pasta,Date),\nsteakSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Steak,Date),\nfraTotal,getTotalFoodsIngredientPerDay(ingredientId,frangiSalesData,"Table_Ingredients_Farangi",Refresher),\nsanTotal,getTotalFoodsIngredientPerDay(ingredientId,sandwichSalesData,"Table_Ingredients_Sandwich",Refresher),\nsaTotal, getTotalFoodsIngredientPerDay(ingredientId,saladSalesData,"Table_Ingredients_Salad",Refresher),\npaTotal, getTotalFoodsIngredientPerDay(ingredientId,pastaSalesData,"Table_Ingredients_Pasta",Refresher),\nsteakTotal, getTotalFoodsIngredientPerDay(ingredientId,steakSalesData,"Table_Ingredients_Steak",Refresher),\naverage, getAverage({saTotal, paTotal, fraTotal, sanTotal, steakTotal}),\nCONVERT_GR_TO_KG(average)\n)	1	Loading...	Loading...
مواد حساس	G9		LET(\ningredientId, DN,\n\nfrangiSalesData,getLast3DaysRows(Table_SalesData_Farangi,Date),\nsandwichSalesData,getLast3DaysRows(Table_SalesData_Sandwich,Date),\nsaladSalesData,getLast3DaysRows(Table_SalesData_Salad,Date),\npastaSalesData,getLast3DaysRows(Table_SalesData_Pasta,Date),\nsteakSalesData,getLast3DaysRows(Table_SalesData_Steak,Date),\nfraTotal,getTotalFoodsIngredientPerDay(ingredientId,frangiSalesData,"Table_Ingredients_Farangi",Refresher),\nsanTotal,getTotalFoodsIngredientPerDay(ingredientId,sandwichSalesData,"Table_Ingredients_Sandwich",Refresher),\nsaTotal, getTotalFoodsIngredientPerDay(ingredientId,saladSalesData,"Table_Ingredients_Salad",Refresher),\npaTotal, getTotalFoodsIngredientPerDay(ingredientId,pastaSalesData,"Table_Ingredients_Pasta",Refresher),\nsteakTotal, getTotalFoodsIngredientPerDay(ingredientId,steakSalesData,"Table_Ingredients_Steak",Refresher),\ngetTrendCoefficientLast3Days(saTotal, paTotal, fraTotal, sanTotal, steakTotal)\n)	1	Loading...	Loading...
مواد حساس	H9		HN	1	1.15	
مواد حساس	I9		LET(\nfarangiData, getPreviousDayRow(Table_Farangi_Last,Date),\ntotalGr, getIngredientValueById(DN,farangiData,Refresher),\nCONVERT_GR_TO_KG(totalGr)\n)	1	Loading...	Loading...
مواد حساس	J9		LET(\ningredientId, DN,\n\nfrangiSalesData,getPreviousDayRow(Table_SalesData_Farangi,Date),\nsandwichSalesData,getPreviousDayRow(Table_SalesData_Sandwich,Date),\nsaladSalesData,getPreviousDayRow(Table_SalesData_Salad,Date),\npastaSalesData,getPreviousDayRow(Table_SalesData_Pasta,Date),\nsteakSalesData,getPreviousDayRow(Table_SalesData_Steak,Date),\nfraTotal,getTotalFoodsIngredientPerDay(ingredientId,frangiSalesData,"Table_Ingredients_Farangi",Refresher),\nsanTotal,getTotalFoodsIngredientPerDay(ingredientId,sandwichSalesData,"Table_Ingredients_Sandwich",Refresher),\nsaTotal, getTotalFoodsIngredientPerDay(ingredientId,saladSalesData,"Table_Ingredients_Salad",Refresher),\npaTotal, getTotalFoodsIngredientPerDay(ingredientId,pastaSalesData,"Table_Ingredients_Pasta",Refresher),\nsteakTotal, getTotalFoodsIngredientPerDay(ingredientId,steakSalesData,"Table_Ingredients_Steak",Refresher),\nsum, SUM(saTotal, paTotal, fraTotal, sanTotal, steakTotal),\ncalcBuffer(FN,CONVERT_GR_TO_KG(sum))\n)	1	Loading...	Loading...
مواد حساس	F10		LET(\ningredientId, DN,\nstarterSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Starter,Date),\nstTotal,getTotalFoodsIngredientPerDay(ingredientId,starterSalesData,"Table_Ingredients_Starter",Refresher),\naverage, getAverage(stTotal),\nCONVERT_GR_TO_KG(average)\n)	1	Loading...	Loading...
مواد حساس	G10		LET(\ningredientId, DN,\nstarterSalesData,getLast3DaysRows(Table_SalesData_Starter,Date),\nstTotal,getTotalFoodsIngredientPerDay(ingredientId,starterSalesData,"Table_Ingredients_Starter",Refresher),\ngetTrendCoefficientLast3Days(stTotal)\n)	1	Loading...	Loading...
مواد حساس	H10		HN	1	1.15	
مواد حساس	I10		LET(\nfarangiData, getPreviousDayRow(Table_Farangi_Last,Date),\ntotalGr, getIngredientValueById(DN,farangiData,Refresher),\nCONVERT_GR_TO_KG(totalGr)\n)	1	Loading...	Loading...
مواد حساس	J10		LET(\ningredientId, DN,\nstarterSalesData,getPreviousDayRow(Table_SalesData_Starter,Date),\nstTotal,getTotalFoodsIngredientPerDay(ingredientId,starterSalesData,"Table_Ingredients_Starter",Refresher),\nsum, SUM(stTotal),\ncalcBuffer(FN,CONVERT_GR_TO_KG(sum))\n)	1	Loading...	Loading...
مواد حساس	F11		LET(\ningredientId, DN,\nsandwichSalesData,getSameWeekdayRowsLast30Days(Table_SalesData_Sandwich,Date),\nsanTotal,getTotalFoodsIngredientPerDay(ingredientId,sandwichSalesData,"Table_Ingredients_Sandwich",Refresher),\ngetAverage(sanTotal)\n)	1	Loading...	Loading...
مواد حساس	G11		LET(\ningredientId, DN,\nsandwichSalesData,getLast3DaysRows(Table_SalesData_Sandwich,Date),\nsanTotal,getTotalFoodsIngredientPerDay(ingredientId,sandwichSalesData,"Table_Ingredients_Sandwich",Refresher),\ngetTrendCoefficientLast3Days(sanTotal)\n)	1	Loading...	Loading...
مواد حساس	H11		HN	1	1.15	
